sha,is_mal,orig_c2,tier3_filtered,kept_c2
9c23c73a7fa3b1b3df8a61866dc36d263aa0754a0bb194e0d164a4773f4537f2,1,8,0,8
9c1cc79b801e8d632bdb73517588e9e7626cf22643263f038c20cc42dfd0f922,1,3,0,3
9a836ef59a4fb8cae0543fed24ca8c53015bee86d6b0ead0086917681c7576d4,1,8,0,8
9c97d8ba3cab23750c3837b024bedde7e6bb7e27f5e6ff3bcd3817b9b9eb33d7,1,0,0,0
9b5905a253141d4f64394de73775541a7bb16714cff8d18684e24ae887c97fc2,1,0,0,0
9cf1ad53db4a31e4be0cfba7bf15f1e414cdf12327063a419be6cdea4700adfd,1,51,0,51
9e95912f1a5fdba5050723f095b7031770b7e2f9627fb60544b41adcbb5b3306,1,1,0,1
9f42721255d8d62b4595b9040a9a7d742c8fe2a5ff17745c8e250cd04928c480,1,2,0,2
a022c24d8295dee70c0f090e4328063971170c33f7bf313b4debbc51d1a2b127,1,28,0,28
a15419356485660f68b50027abc76a052d34427b45eebb23573294c21d834eaa,1,2,0,2
a0bffc11168c65beb59c326d88f144f0d750634252a507ffe039c84e354e3704,1,14,0,14
a023fa166051294fe5a569f26092588fdf24a060de46e5cd5be9a5c5bb3b0204,1,54,0,54
9f2d916b1e0ee486f5a49e3e9887eae59dbdca0a554139ae9a4dc8edc2f12de0,1,37,0,37
a1ba273a24f92e4936005f0f7c5b895e07d974b11516bcad50d6077bf3a8f868,1,7,0,7
a3ade4b9e03e459a5955d68c52f8dbf893ce0c2bfb56c1c8b7415ecfb7ec9246,1,29,0,29
a3cd2d8dab7ced749a29307797a0dfefe238864b1f5bf6bafdf6e66c30c009b6,1,1,0,1
a1e9f466900002ef2efba2e1b95178421d28d64635b1c78791c3a6c8159c7be4,1,2,0,2
a83a003b989c2dcd12fb0f80dfd458a099f33c1a1f052b2c53ece5f719063495,1,7,0,7
a93d66a127091d11090f544514d7e677c24db69d361008e60fffc5200331a1fe,1,0,0,0
a778818cc08d213d1f66db5fa8b34aabc862569ecb99fd1aea37ff6ccab48400,1,54,0,54
a945198c086ad3fe0c5dbbce5ef410ea12986c9c160295d76be881c5f8ae0880,1,28,0,28
a959108ec8f93ee4c71e588236788d17372f9d61b8f71a509a776f097889f36b,1,143,0,143
a9d1561ed0d23a5473d68069337e2f8e7862f7b72b74251eb63ccc883ba9459f,1,2,0,2
aa8127463312dac0158e74d56a3e3c2f50d9cf98c09942a27cf95081348874a3,1,30,0,30
abf62033c4b913bf8368de607fdc4dd2677f9441541db3c2a9375dd9130ff9bb,1,0,0,0
ab1363201d0897ab7c55dceb1f8664a58ac65fe4aee3c9600c5d7659f8ae58a9,1,3,0,3
addbd8770b53a50e83c711143332c76e9160f920675e2de5591669d3b93f499b,1,0,0,0
ad9f39e6166a47ae16359777b607055198cda23f004d9d7b066e22c0d0cf1e6d,1,0,0,0
ae502f67782e9cc2a6e33b868f14467f3dabf126e868a8e10a68aa2ddd4092e1,1,2,0,2
b439f642007bd707ac806ba3f71e7b2a022e261fbd9b5dd3882afd8664db98c4,1,8,0,8
b2225250a1fcff06750f32d3abb999ffe26fbd21abc7b87ff0e91f8e0449652c,1,26,0,26
b0861e7d9dbcd63679ccef606b67ad0ef0283f4a7cb14efe14716fbad328cf5b,1,10,0,10
b459673b77209ff89a2833977b4de341a529722f1e4662451b514df220e13afc,1,0,0,0
b4dadf3553bb82499c4d0b6be96c47c46abc6904b611376d75c844ffb83725c6,1,0,0,0
b634c8c0ec3a4d682630eed6ac1cc8d5e2b0481110121990edcb4e0df9867698,1,0,0,0
b74b65f68641feb46d22fddb595fff57cba53f5e3d4d780f4b1bf9b2682a9230,1,23,0,23
b7f8c6b76b8b1a0f99fbec5eb467983e8fd18f3ef496957bd8fb9c5bfca5e50b,1,8,0,8
b8ed964e21a6f480dccb593f85854b835f0693472c5857d52af3efa5a4cc244b,1,3,0,3
bb5c794018995f39d831214c479d96dad7d51bf34471b0613ea69489e5fc4fd5,1,50,0,50
b7ffef61c60d80eee806f36f30f80ff9cf3f73d522bd05e192fa34dcf2e87224,1,8,0,8
bb990fe92faff97b2e3e606ca0eeac34253c471d9e84da98111e1c81cfd0a960,1,8,0,8
b88e7421bc61f4ce20c0694418fc97c1e77cfd3f2053857f87cc47512a55c3d3,1,16,0,16
bc377ac35e40f0a9d233d5c985804c99396a45dc5dd45a2c8e134a458b05241c,1,16,0,16
bcf129023a712e3ab8a8f6d67e74e7914550ffa8e718b0939b7d5238d8b69863,1,6,0,6
